Pool id;Agent -1;Agent 1;Scores;Steps
0;Step Analyst Player 0 | False;Step Analyst Player 0 | True;[-6, 1, -2, 12, 0];[34, 36, 34, 34, 34]
1;Step Analyst Player 1 | False;Step Analyst Player 1 | True;[1, -10, 6, -7, -1];[36, 34, 34, 33, 35]
2;Step Analyst Player 2 | False;Step Analyst Player 2 | True;[-1, 1, 4, -1, 10];[35, 36, 34, 35, 34]
3;Step Analyst Player 3 | False;Step Analyst Player 3 | True;[0, 1, -1, -4, -1];[34, 33, 35, 34, 33]
4;Step Analyst Player 4 | False;Step Analyst Player 4 | True;[-1, 2, -1, -1, -1];[35, 34, 35, 31, 34]
5;Step Analyst Player 5 | False;Step Analyst Player 5 | True;[-3, -1, -1, -2, -1];[33, 35, 35, 34, 35]
6;Step Analyst Player 6 | False;Step Analyst Player 6 | True;[-1, -2, -1, 5, -2];[35, 34, 35, 35, 34]
7;Step Analyst Player 7 | False;Step Analyst Player 7 | True;[-3, 9, 8, -1, 4];[33, 33, 32, 35, 34]
8;Step Analyst Player 8 | False;Step Analyst Player 8 | True;[-1, -2, -8, 1, 9];[35, 34, 34, 35, 33]
9;Step Analyst Player 9 | False;Step Analyst Player 9 | True;[-1, 4, 11, -1, -1];[35, 34, 33, 35, 35]
10;Step Analyst Player 10 | False;Step Analyst Player 10 | True;[-2, -2, -1, -2, 6];[34, 34, 35, 34, 34]
11;Step Analyst Player 11 | False;Step Analyst Player 11 | True;[10, -3, 9, -6, -1];[34, 33, 33, 34, 35]
12;Step Analyst Player 12 | False;Step Analyst Player 12 | True;[2, -1, -1, -1, 1];[34, 35, 35, 35, 33]
13;Step Analyst Player 13 | False;Step Analyst Player 13 | True;[2, -8, -1, 6, -1];[34, 34, 35, 34, 35]
14;Step Analyst Player 14 | False;Step Analyst Player 14 | True;[-1, -1, -1, 2, -1];[35, 34, 35, 34, 35]
15;Step Analyst Player 15 | False;Step Analyst Player 15 | True;[7, -1, -2, -1, 6];[33, 35, 32, 35, 34]
16;Step Analyst Player 16 | False;Step Analyst Player 16 | True;[-1, -1, -2, -1, -1];[35, 35, 32, 35, 35]
17;Step Analyst Player 17 | False;Step Analyst Player 17 | True;[-1, 6, 10, -1, 1];[35, 34, 36, 35, 33]
18;Step Analyst Player 18 | False;Step Analyst Player 18 | True;[2, -2, -1, -1, 4];[34, 34, 35, 35, 32]
19;Step Analyst Player 19 | False;Step Analyst Player 19 | True;[13, -1, -1, 1, -4];[33, 35, 35, 33, 34]
20;Step Analyst Player 20 | False;Step Analyst Player 20 | True;[-1, 2, 1, -1, 3];[35, 34, 33, 35, 33]
21;Step Analyst Player 21 | False;Step Analyst Player 21 | True;[-6, -4, -6, 3, 2];[34, 34, 34, 33, 34]
22;Step Analyst Player 22 | False;Step Analyst Player 22 | True;[-6, 8, -3, -1, 2];[34, 34, 33, 35, 34]
23;Step Analyst Player 23 | False;Step Analyst Player 23 | True;[-3, -3, -4, -1, -1];[35, 33, 34, 35, 35]
24;Step Analyst Player 24 | False;Step Analyst Player 24 | True;[-1, 4, 7, 13, 2];[35, 34, 33, 33, 34]
25;Step Analyst Player 25 | False;Step Analyst Player 25 | True;[-4, -1, -1, 2, -1];[34, 35, 35, 34, 35]
26;Step Analyst Player 26 | False;Step Analyst Player 26 | True;[-1, 5, -1, -1, -1];[35, 35, 35, 35, 35]
27;Step Analyst Player 27 | False;Step Analyst Player 27 | True;[-6, 8, 2, -4, 3];[32, 34, 34, 34, 35]
28;Step Analyst Player 28 | False;Step Analyst Player 28 | True;[-1, -7, 2, -8, 0];[35, 35, 34, 34, 36]
29;Step Analyst Player 29 | False;Step Analyst Player 29 | True;[-1, -2, 4, -1, -1];[35, 34, 34, 35, 35]
30;Step Analyst Player 30 | False;Step Analyst Player 30 | True;[-1, -1, -1, 5, 6];[35, 35, 35, 33, 34]
31;Step Analyst Player 31 | False;Step Analyst Player 31 | True;[8, -1, -3, -1, -3];[34, 35, 33, 35, 33]
32;Step Analyst Player 32 | False;Step Analyst Player 32 | True;[3, 4, -1, 9, -2];[33, 36, 35, 33, 34]
33;Step Analyst Player 33 | False;Step Analyst Player 33 | True;[-11, 5, -1, -2, -1];[33, 33, 35, 34, 35]
34;Step Analyst Player 34 | False;Step Analyst Player 34 | True;[1, -5, -4, -1, -6];[34, 35, 34, 33, 34]
35;Step Analyst Player 35 | False;Step Analyst Player 35 | True;[8, 5, -6, -1, -1];[34, 33, 34, 35, 35]
36;Step Analyst Player 36 | False;Step Analyst Player 36 | True;[-1, -6, -1, 4, 14];[35, 34, 35, 34, 34]
37;Step Analyst Player 37 | False;Step Analyst Player 37 | True;[2, -12, 2, 3, 5];[34, 34, 34, 33, 33]
38;Step Analyst Player 38 | False;Step Analyst Player 38 | True;[-1, -1, -5, 3, -8];[35, 35, 33, 33, 32]
39;Step Analyst Player 39 | False;Step Analyst Player 39 | True;[2, 6, -1, 2, -1];[34, 34, 35, 34, 35]
