Pool id;Agent -1;Agent 1;Pct Agent -1;Pct Draw;Pct Agent 1
0;Step Analyst Player 0 | False;Step Analyst Player 0 | True;0.48;0.016;0.504
1;Step Analyst Player 1 | False;Step Analyst Player 1 | True;0.831;0.017;0.152
2;Step Analyst Player 2 | False;Step Analyst Player 2 | True;0.83;0.009;0.161
3;Step Analyst Player 3 | False;Step Analyst Player 3 | True;0.44;0.034;0.526
4;Step Analyst Player 4 | False;Step Analyst Player 4 | True;0.184;0.03;0.786
5;Step Analyst Player 5 | False;Step Analyst Player 5 | True;0.854;0.011;0.135
6;Step Analyst Player 6 | False;Step Analyst Player 6 | True;0.849;0.014;0.137
7;Step Analyst Player 7 | False;Step Analyst Player 7 | True;0.789;0.018;0.193
8;Step Analyst Player 8 | False;Step Analyst Player 8 | True;0.218;0.227;0.555
9;Step Analyst Player 9 | False;Step Analyst Player 9 | True;0.435;0.216;0.349
10;Step Analyst Player 10 | False;Step Analyst Player 10 | True;0.739;0.022;0.239
11;Step Analyst Player 11 | False;Step Analyst Player 11 | True;0.406;0.227;0.367
12;Step Analyst Player 12 | False;Step Analyst Player 12 | True;0.271;0.041;0.688
13;Step Analyst Player 13 | False;Step Analyst Player 13 | True;0.774;0.021;0.205
14;Step Analyst Player 14 | False;Step Analyst Player 14 | True;0.752;0.018;0.23
15;Step Analyst Player 15 | False;Step Analyst Player 15 | True;0.716;0.027;0.257
16;Step Analyst Player 16 | False;Step Analyst Player 16 | True;0.278;0.035;0.687
17;Step Analyst Player 17 | False;Step Analyst Player 17 | True;0.744;0.021;0.235
18;Step Analyst Player 18 | False;Step Analyst Player 18 | True;0.45;0.021;0.529
19;Step Analyst Player 19 | False;Step Analyst Player 19 | True;0.476;0.036;0.488
20;Step Analyst Player 20 | False;Step Analyst Player 20 | True;0.311;0.044;0.645
21;Step Analyst Player 21 | False;Step Analyst Player 21 | True;0.753;0.02;0.227
22;Step Analyst Player 22 | False;Step Analyst Player 22 | True;0.66;0.021;0.319
23;Step Analyst Player 23 | False;Step Analyst Player 23 | True;0.52;0.03;0.45
24;Step Analyst Player 24 | False;Step Analyst Player 24 | True;0.557;0.034;0.409
25;Step Analyst Player 25 | False;Step Analyst Player 25 | True;0.732;0.032;0.236
26;Step Analyst Player 26 | False;Step Analyst Player 26 | True;0.638;0.026;0.336
27;Step Analyst Player 27 | False;Step Analyst Player 27 | True;0.738;0.021;0.241
28;Step Analyst Player 28 | False;Step Analyst Player 28 | True;0.578;0.034;0.388
29;Step Analyst Player 29 | False;Step Analyst Player 29 | True;0.707;0.025;0.268
30;Step Analyst Player 30 | False;Step Analyst Player 30 | True;0.35;0.022;0.628
31;Step Analyst Player 31 | False;Step Analyst Player 31 | True;0.497;0.017;0.486
32;Step Analyst Player 32 | False;Step Analyst Player 32 | True;0.357;0.038;0.605
33;Step Analyst Player 33 | False;Step Analyst Player 33 | True;0.699;0.022;0.279
34;Step Analyst Player 34 | False;Step Analyst Player 34 | True;0.365;0.026;0.609
35;Step Analyst Player 35 | False;Step Analyst Player 35 | True;0.527;0.015;0.458
36;Step Analyst Player 36 | False;Step Analyst Player 36 | True;0.359;0.014;0.627
37;Step Analyst Player 37 | False;Step Analyst Player 37 | True;0.5;0.018;0.482
38;Step Analyst Player 38 | False;Step Analyst Player 38 | True;0.466;0.031;0.503
39;Step Analyst Player 39 | False;Step Analyst Player 39 | True;0.455;0.035;0.51
